RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_7","2016I","3.5.2.2.2","num","FR","3628"
"r_7","2016I","3.5.2.1.2","num","FR","1798"
"r_7","2016I","3.5.2.2.2","num","HR","1162"
"r_7","2016I","3.5.2.1.2","num","HR","475"
"r_7","2016I","3.5.2.2.2","num","CZ","1615"
"r_7","2016I","3.5.2.1.2","num","CZ","725"
"r_7","2016I","3.5.2.2.2","num","SE","881"
"r_7","2016I","3.5.2.1.2","num","SE","376"
"r_7","2016I","3.5.2.2.2","num","OTH_EUR","170223"
"r_7","2016I","3.5.2.1.2","num","OTH_EUR","49316"
"r_7","2016I","3.5.2.2.2","num","MK","68970"
"r_7","2016I","3.5.2.1.2","num","MK","18148"
"r_7","2016I","3.5.2.2.2","num","NO","462"
"r_7","2016I","3.5.2.1.2","num","NO","241"
"r_7","2016I","3.5.2.2.2","num","RU","25049"
