RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_7","2","4","3","perc_pop_fig","2019","53.9"
"r_7","0","5","2","perc_pop_fig","2019","43"
"r_7","1","5","2","perc_pop_fig","2019","45.3"
"r_7","2","5","2","perc_pop_fig","2019","41.8"
"r_7","0","5","9","perc_pop_fig","2019","44"
"r_7","1","5","9","perc_pop_fig","2019","46.9"
"r_7","2","5","9","perc_pop_fig","2019","42.5"
"r_8","0","1","2","perc_pop_fig","2020","15.4"
"r_8","1","1","2","perc_pop_fig","2020","16.3"
"r_8","2","1","2","perc_pop_fig","2020","14.5"
"r_8","0","1","9","perc_pop_fig","2020","15.3"
"r_8","1","1","9","perc_pop_fig","2020","16.1"
"r_8","2","1","9","perc_pop_fig","2020","14.4"
"r_8","0","1","3","perc_pop_fig","2020","11.8"
"r_8","1","1","3","perc_pop_fig","2020","11.6"
"r_8","2","1","3","perc_pop_fig","2020","12"
"r_8","0","2","2","perc_pop_fig","2020","52.2"
"r_8","1","2","2","perc_pop_fig","2020","56.1"
"r_8","2","2","2","perc_pop_fig","2020","49.2"
"r_8","0","2","9","perc_pop_fig","2020","51.5"
"r_8","1","2","9","perc_pop_fig","2020","49.3"
"r_8","2","2","9","perc_pop_fig","2020","53.1"
"r_8","0","2","3","perc_pop_fig","2020","51"
"r_8","1","2","3","perc_pop_fig","2020","42.9"
"r_8","2","2","3","perc_pop_fig","2020","56.1"
"r_8","0","3","2","perc_pop_fig","2020","70.7"
"r_8","1","3","2","perc_pop_fig","2020","76"
"r_8","2","3","2","perc_pop_fig","2020","64.4"
"r_8","0","3","9","perc_pop_fig","2020","71.2"
"r_8","1","3","9","perc_pop_fig","2020","76.6"
